ut	airspeed	aoa	drag	density	density_calc	density_calc_precise	temperature	temperature_calc	force_actual	force_predicted	force_predicted_cache
20243.9790861051	228	-179.990821742685	0	0.383474410275944	0.384619568765517	0.384525202409248	235.909316492267	235.979777380502	20.2543843106639	20.1817481169756	24.4136627974038
20245.0990861051	227	-179.979288303437	0	0.398445097166167	0.399636778222165	0.399543321229136	236.898060307808	236.968898478422	20.2610746992855	20.1910266110277	24.942403729556
20246.2190861051	227	-179.979086756612	0	0.41429735769536	0.415561414181033	0.415468906542729	237.891940806736	237.963126516925	20.2788988386615	20.2107641530557	25.5008441868305
20247.3390861052	226	-179.990363906547	0	0.431171532370472	0.432507404323761	0.432415878986607	238.890798253386	238.962350442465	20.3062523219244	20.234316459759	26.0899478542419
20248.4590861052	226	179.978051218252	0	0.449058386640098	0.450464934354502	0.450374445225706	239.894470120538	239.96635343101	20.3335972817548	20.2548692010187	26.7054094500807
20249.5790861052	225	179.991773736861	0	0.467948736615843	0.469425595746711	0.469336215429432	240.90280846268	240.975008712832	20.338823117909	20.2535863194488	27.3487155403737
20250.1390861052	225	-179.980890630593	0	0.477767899412885	0.479279658332294	0.479190865008684	241.40869491263	241.481064824353	20.3333195977257	20.2503447963561	27.6822676893178
20251.2590861052	225	179.985523790756	0	0.498150031764553	0.49973147549497	0.49964393102891	242.423933273059	242.496623491076	20.3160640143852	20.2370098176467	28.3737343197693
20252.3790861053	225	179.992052366628	0	0.519519339376121	0.521169482115957	0.521083297882183	243.443767746048	243.516808969129	20.2930015232409	20.22005233956	29.0981090289986
20253.4990861053	224	-179.983935791873	0	0.541871601482589	0.543590220458433	0.54350551972104	244.468281177845	244.541643754221	20.2658457913047	20.2020759584461	30.0870213741144
20254.6190861053	224	-179.986079994318	0	0.565202112613003	0.566989194069387	0.56690611048686	245.497526410771	245.571225952005	20.2360731435917	20.1818213183648	31.1891878270646
20255.7390861053	224	179.995897030779	0	0.589508994396238	0.591363862338317	0.59128253773465	246.53155625931	246.605608488052	20.2061590094177	20.1600980594459	32.3470350260286
20256.8590861054	224	-179.98701989197	0	0.614789439851769	0.616711602564464	0.616632185375602	247.570499593913	247.644905039957	20.1763224656911	20.1407374876715	33.5616375473981
20257.4190861054	223	-179.993887653491	0	0.627794115663152	0.629749957755637	0.629671551460237	248.091839036082	248.16642889314	20.1614480253237	20.1306405721578	34.1903616526064
20258.5390861054	223	179.990556093185	0	0.65453187163711	0.656554889806876	0.656478621446018	249.13830518561	249.213247864013	20.1353766671453	20.1141990001902	35.4905471357178
20259.6590861054	223	-179.990357906039	0	0.68223948505224	0.684329907440784	0.68425593349942	250.189870505346	250.265182902901	20.1147362962529	20.1024248730281	36.8469423915921
20260.7790861054	223	-179.992707313039	0	0.710916357264339	0.713073143183431	0.713001619773241	251.246619739055	251.322288878788	20.102052686137	20.0981720043732	38.2571142651329
20261.8990861055	223	-179.992518140545	0	0.740559576171561	0.742782819893696	0.742713901250229	252.308549781446	252.384605405098	20.1027384016103	20.1051566399244	39.7163917688004
20263.0190861055	223	-179.993351657431	0	0.771166482619142	0.773455352656434	0.77338918865089	253.375654267766	253.452066798625	20.1203545166175	20.12733231222	41.2172178184937
20264.1390861055	223	-179.997347351249	0	0.802731205431791	0.805085521870369	0.805022256250963	254.44779223235	254.524577541567	20.1609589359074	20.1689129953358	42.7479929453998
20264.6990861055	223	-179.995985394714	0	0.818870263599813	0.821256925260555	0.821195160090252	254.98569921724	255.062656065335	20.1913208724047	20.1990925603864	43.5198203761594
20265.8190861056	223	179.999859523747	0	0.85185413859994	0.854304448545475	0.854245780452845	256.06499940746	256.142269616706	20.2774211118879	20.278827781446	45.1174437728698
20266.9390861056	222	-179.997156889146	0	0.885765125754719	0.888277625179182	0.888222171761828	257.148574487031	257.226112647895	20.4001463987863	20.3891972773143	46.9111915984321
20268.0590861056	222	179.996740088509	0	0.920581150145384	0.923154166114522	0.923102030423813	258.235827460923	258.313620922879	20.5458591164702	20.4964755316068	48.6771147068319
20269.1790861056	222	-179.994835191678	0	0.956277804540075	0.95890962685511	0.958860895053358	259.326195611155	259.404213991106	20.6266024427398	20.550131937077	50.4317390110701
20270.2990861057	221	-179.995287021919	0	0.992838344900739	0.995527696711438	0.995482437168712	260.419323264994	260.497536218277	20.6717960135478	20.5880811367404	52.1977170043366
20271.4190861057	221	-179.996816306234	0	1.03024865143986	1.0329946460544	1.03295290786121	261.515004111191	261.593352365256	20.7096526380314	20.624947622025	53.9794178441583
20272.5390861057	220	-179.996096964087	0	1.06849562058014	1.07129744084785	1.07125925229226	262.613004011947	262.691518024779	20.7497922117245	20.6662955766822	55.7736355210509
20273.0990861057	220	-179.996601927902	0	1.08792832866005	1.09075745244758	1.09072104234913	263.162814910135	263.241412073753	20.7719109886976	20.6890418064055	56.6734190783412
20274.2190861057	219	-179.99681187842	0	1.12740310410966	1.13028637450098	1.13025351364208	264.263911007008	264.342644298616	20.8207842379948	20.7401882962392	58.4736178647899
20275.3390861058	219	-179.996517145858	0	1.16767696356372	1.17061309920146	1.17058375643328	265.366735054684	265.445574552369	20.8776346847309	20.8005855128191	60.2666510888798
20276.4590861058	218	179.997683636257	0	1.20873152903858	1.21171945991117	1.21169357754625	266.471020049724	266.549935711073	20.9448540189465	20.8728232691492	62.0407426929122
20277.5790861058	218	-179.99838704216	0	1.2505465592796	1.2535843995421	1.25356189188511	267.576376528085	267.655368917348	21.0255812155845	20.9612050401736	63.7807591073462
20278.6990861058	217	-179.997591157581	0	1.29309862483153	1.2961846996635	1.29616545158295	268.68241468292	268.761453785708	21.1248046518138	21.0718751775898	65.4667121213018
20279.8190861059	216	-179.997938868226	0	1.33635951789609	1.33949231653215	1.33947618219983	269.788652836885	269.867647513151	21.2491590636707	21.2140406666322	67.1336755496831
20280.9390861059	215	-179.999351873888	0	1.38029531038687	1.38347152261543	1.38345832423525	270.894395176628	270.973315378979	21.4102239194205	21.4033634549149	68.6864845104143
20282.0590861059	214	-179.999096450096	0	1.42486255244917	1.42807912678234	1.42806865368684	271.998823157568	272.077638705853	21.6266482377065	21.6677291670929	70.0672118279676
20282.6190861059	213	-179.998128189727	0	1.44736633280958	1.45060145688883	1.45059225692577	272.550236717714	272.628923783406	21.7655214251022	21.8424922839598	70.6678409556956
